Rank,Name,Position,Age,Market Value In Millions ,Country,Club,Matches,Goals,Own Goals,Assists,Yellow Cards,Second Yellow Cards,Red Cards,Number Of Substitute In,Number Of Substitute Out
1,Kylian Mbappé,Centre-Forward,22,144,France,Paris Saint-Germain,16,7,0,11,3,0,0,0,8
2,Erling Haaland,Centre-Forward,21,135,Norway,Borussia Dortmund,10,13,0,4,1,0,0,0,1
3,Harry Kane,Centre-Forward,28,108,England,Tottenham Hotspur,16,7,0,2,2,0,0,2,2
4,Jack Grealish,Left Winger,26,90,England,Manchester City,15,2,0,3,1,0,0,2,8
5,Mohamed Salah,Right Winger,29,90,Egypt,Liverpool FC,15,15,0,6,1,0,0,0,3
6,Romelu Lukaku,Centre-Forward,28,90,Belgium,Chelsea FC,11,4,0,1,0,0,0,1,2
7,Kevin De Bruyne,Attacking Midfield,30,90,Belgium,Manchester City,14,3,0,1,1,0,0,4,6
8,Neymar,Left Winger,29,90,Brazil,Paris Saint-Germain,11,3,0,3,3,0,0,0,3
9,Jadon Sancho,Left Winger,21,81,England,Manchester United,13,0,0,0,0,0,0,7,5
10,Frenkie de Jong,Central Midfield,24,81,Netherlands,FC Barcelona,13,0,0,2,2,1,0,0,2
11,Bruno Fernandes,Attacking Midfield,27,81,Portugal,Manchester United,18,5,0,8,3,0,0,3,5
12,Joshua Kimmich,Defensive Midfield,26,81,Germany,Bayern Munich,18,3,0,4,1,0,0,0,3
13,Raheem Sterling,Left Winger,26,81,England,Manchester City,15,2,0,2,0,0,0,9,2
14,Marcus Rashford,Left Winger,24,76.5,England,Manchester United,6,3,0,0,0,0,0,3,3
15,Sadio Mané,Left Winger,29,76.5,Senegal,Liverpool FC,15,8,0,0,1,0,0,2,3
16,Heung-min Son,Left Winger,29,76.5,"Korea, South",Tottenham Hotspur,15,5,0,2,1,0,0,4,4
17,Pedri,Central Midfield,18,72,Spain,FC Barcelona,5,0,0,0,0,0,0,1,2
18,Phil Foden,Central Midfield,21,72,England,Manchester City,13,5,0,4,0,0,0,4,3
